Timestamp: 2024-03-24 14:03:38, Arduino Data: {'Humidity': 21}
Timestamp: 2024-03-24 14:03:38, Arduino Data: {'Humidity': 21}
Timestamp: 2024-03-24 15:47:39, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.26, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 255}
Timestamp: 2024-03-24 15:47:44, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.38, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:44, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.38, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:49, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.38, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:49, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.38, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:54, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.38, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:54, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.38, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:58, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:47:58, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:05, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.38, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 191}
Timestamp: 2024-03-24 15:48:05, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.38, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 191}
Timestamp: 2024-03-24 15:48:10, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.39, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:10, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.39, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:15, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:15, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:20, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.37, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:20, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.37, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:25, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:25, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:31, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 15:48:31, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 15:48:36, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:36, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:41, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:41, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:46, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:46, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:51, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.41, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:51, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.41, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:48:57, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.35, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 15:48:57, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.35, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 15:49:02, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:02, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:07, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:07, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:12, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:12, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:17, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.35, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:17, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.35, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:23, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 15:49:23, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 15:49:28, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:28, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:33, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
